"filename", "language", "C#", "JSON", "XML", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\DataContextModelSnapshot.cs", "C#", 357, 0, 0, 0, 0, 0, 0, 0, 1, 130, 488
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Program.cs", "C#", 145, 0, 0, 0, 0, 0, 0, 0, 4, 28, 177
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Properties\launchSettings.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\appsettings.example.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\controllers\AuthController.cs", "C#", 168, 0, 0, 0, 0, 0, 0, 0, 4, 29, 201
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\controllers\EmailController.cs", "C#", 104, 0, 0, 0, 0, 0, 0, 0, 7, 21, 132
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\controllers\LeaderboardsController.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\controllers\QuestionsController.cs", "C#", 83, 0, 0, 0, 0, 0, 0, 0, 0, 16, 99
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\controllers\ScrapingController.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\helper\HelperFunctions.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\interfaces\IEmailRepo.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\interfaces\ILeaderboardRepo.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\interfaces\IQuestionRepo.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\interfaces\IScrapeQuestions.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\Answer.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\ApplicationUser.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\CodeVerifyRequest.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\EmailSettings.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\ExamSession.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\ForgotPasswordRequest.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\Question.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\UserAnswerSubmission.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\models\VerificationCode.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\repositories\EmailRepo.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\repositories\LeaderboardRepo.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\repositories\QuestionRepo.cs", "C#", 135, 0, 0, 0, 0, 0, 0, 0, 1, 27, 163
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\repositories\ScrapeQuestions.cs", "C#", 135, 0, 0, 0, 0, 0, 0, 0, 2, 25, 162
"c:\Users\Shotesko\Desktop\DLTProj\package-lock.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 4155, 10314, 18, 25, 58, 512, 241, 36, 88, 1336, 16783
